data
"What coronavirus symptoms look like, day by day https://t.co/k4IVK4QX2m"
"""There is a direct relationship between the brutal and oppressive nature of the communist regime, and the global spread of COVID-19"" @BrendanCarrFCC told me in an interview.

“China is engaged in a worldwide propaganda campaign to cover their tracks."" 

https://t.co/12AYgaixR4"
"Trump ate his Wheaties for this presser and he is right.. 15,000 people have died worldwide of the CoronaVirus while 150,000 committed suicide... 

Well done Mr. President this nonsense can’t continue much longer.."
How much harm can one person really do? A sobering image of just how powerful social distancing can be in fighting COVID-19 #coronavirus https://t.co/AHHcJGNwPH
NEW POLL: 61 percent of voters say Trump is taking strong enough measures to slow or stop coronavirus spread https://t.co/Z5kkLseKOL https://t.co/ttgR3TWTac
"British doctors call on people who can’t smell/taste to self-isolate as “Anosmia, the loss of sense of smell, and ageusia, an accompanying diminished sense of taste, have emerged as peculiar telltale signs of Covid-19.” https://t.co/NdX2AMmbCh"
"Pres Trump is declining to say whether he will directly listen to advice of Dr. Anthony Fauci, of NIH or Amb Debbie Birx, WH Coronavirus Response Coordinator, on easing coronavirus guidelines. Instead, he says he will take their advice &amp; ""others"" into account &amp; decide himself."
"Asked why Dr. Fauci isn't at today's briefing, Trump said, ""He's not here because we weren't discussing what he's best at."" 

Fauci is best at mitigating infectious diseases, according to his credentials, and sits on the coronavirus task force."
"House Democrats have introduced a new coronavirus relief bill that includes preventing corporations from using taxpayer money for stock buybacks, strengthening the child tax and earned income tax credits, and boosting unemployment insurance. https://t.co/hygkpJoMmA"
"Senator @tedcruz on Democrats blocking the coronavirus relief bill:

""One of the reasons I think Senate Democrats are so willing to engage in this is that they expect the media to be utterly complicit in their cynical gamesmanship."" https://t.co/XdUkTYvw0r"
Here is how US sanctions hurt Iranians in the fight against #Coronavirus. I just tried to launch a campaign @gofundme to raise funds for @ReliefIntl which is one of the few organizations with a license from US government to do humanitarian work in Iran. And this happened: https://t.co/8Xv7huVFKV
The president says the First Lady was tested for coronavirus and is negative.
"Sen. @tedcruz UNLOADS on Dems from the Senate floor:

""What the hell do the emissions standards on airplanes have to do with thousands of people dying and millions of people out of work in the Coronavirus epidemic?"" https://t.co/zXiQjJRpRA"
Here’s a useful summary of the current best thinking among public health experts on how we need to approach the fight against COVID-19 in the coming weeks. https://t.co/7cy71sKLVG
"I have a son who seems to be confused and sad amid COVID-19 pandemic.For our adult students @LCMCMD who are parents like myself, PBS has great resources in Spanish and in English. #bilingualisim #children #facts #education https://t.co/R5iOXrmnu4"
This coronavirus shit is really ruining everything smh
"Why “Sanders worried”? You never mention his name, why now in your OMfG did the DNC FU BS.  Every GD Sanders voter told you they rigged the primaries, all of a sudden Biden is who we said he is. MSM, Biden is your boy. You Bought and Paid For sumbitches.

https://t.co/6Ftc6oZ1qm"
"""A man has died and his wife is under critical care after the couple, both in their 60s, ingested chloroquine phosphate,"" one of the anti-malaria drugs that President Trump has mentioned in recent days. https://t.co/8Kuwj3tlA1"
Doctors Express Concern About Access to Coronavirus Testing in Black Communities https://t.co/mRoOLEjdzM https://t.co/AspElQNIAk
"TV show after TV show is breaking away from Trump's coronavirus press conference. Pretty soon only Discovery's ""Naked and Afraid"" will be available."
"Susan Collins, the least popular US Senator, says its a disgrace to ""delay another day"" on funding republicans coronavirus relief package that gives a huge payday to wealthy donors. 

In 2009, Collins stripped $870M for pandemic preparations funding. Mainers need to vote her out. https://t.co/YhwbM6tYWv"
"President Trump: ""The whole concept of death is terrible, but there's a tremendous difference between something under one percent and four or five or even three percent.""

Full video here: https://t.co/jfuGGc0Nu1 https://t.co/c66a8jtLr9"
"Pelosi &amp; Schumer are holding our country hostage, holding up this relief package, trying to extort concessions unrelated to COVID-19.  Call them at 202 224 3121, urge them to debate, then hold a vote."
Dr. Fauci is not at the White House coronavirus briefing. Attorney General Barr is at the briefing.
A great early result from a drug that will start tomorrow in New York and other places! #COVIDー19 https://t.co/4F4Qk4WFtK
"Pelosi &amp; Schumer are holding our country hostage, holding up this relief package, trying to extort concessions unrelated to COVID-19.  Call them at 202 224 3121, urge them to debate, then hold a vote."
"I remixed Lil Boosie's ""Wipe Me Down"" to a #coronavirus #covid19 ""Wipe It Down"" to remind y'all to #stayathome #disinfect and #washyourhands. 😂😂😂 https://t.co/KTmK5Yh1fm"
"@FoxNews @CNN @CBSNews  @NBCNews @ABC @MSNBC @NewsHour @nytimes @washingtonpost @ajc @ajcpolitics @RepDougCollins @SenateGOP 

Time to expose all the hidden agendas that the Democrats are trying to write into the Coronavirus Bill.
Americans want to know."
"President Trump, asked if he has any regrets on how he’s handled the coronavirus: “I don’t think so. I look forward, I don’t look back…I’m a forward-thinker, I guess they would say."""
Is Barr there to give a misleading summary of the Coronavirus?
Here’s a useful summary of the current best thinking among public health experts on how we need to approach the fight against COVID-19 in the coming weeks. https://t.co/7cy71sKLVG
"Pelosi Buries An Unrelated Progressive Agenda In Her 1,000 Page #Coronavirus Relief Bill 

Via @JennieSTaer 
https://t.co/rkXp7nxGLh"
"Arizona man dies after ingesting chloroquine in an attempt to prevent coronavirus. https://t.co/BG4xyZnKFv  

There are no drugs approved to try to prevent or treat the new coronavirus. Self-medicating to prevent the coronavirus can be dangerous and possibly deadly."
"Asked why Dr. Fauci isn't at today's briefing, Trump said, ""He's not here because we weren't discussing what he's best at."" 

Fauci is best at mitigating infectious diseases, according to his credentials, and sits on the coronavirus task force."
