,tweets,Created_at,id,userid,date,source,likes,retweets
22,"RT @TECKNET5: #Giveaway Hello March!
🎁Bluetooth earphones
To enter, simply #Follow &amp; #RT &amp; #Tag a friend .
🌸Good luck!🌸
End Day: 08/03/2023…",2023-03-02 20:02:22+00:00,1631384471650836486,1185470930996338688,2023-03-02 20:02:22+00:00,Twitter Web App,0,356
23,The upcoming chip in the iPhone 15 Pro is anticipated to encourage current iPhone users to upgrade… https://t.co/jZyOuhQc32,2023-03-02 20:00:26+00:00,1631383984989937674,1040271501910519810,2023-03-02 20:00:26+00:00,SocialBee,0,0
24,Pour une couleur … non juste pour le soutenir…. Merci à vous de le soutenir aussi #Iphone #iphone15pro #Iphone15… https://t.co/T7M6MMByEl,2023-03-02 19:51:19+00:00,1631381690437214245,2158500545,2023-03-02 19:51:19+00:00,Twitter for iPhone,1,1
25,Podoba Wam się taki design 🤔 | 📷 @TechScoreNY 👇 #iPhone15Pro #iPhone #Apple #design #concept #smartphone https://t.co/hksK6R919a,2023-03-02 19:10:28+00:00,1631371412626612233,1047235962269564928,2023-03-02 19:10:28+00:00,Twitter Web App,4,0
26,"😮Apple полностью слила iPhone 15🤯Презентацию ждать не надо, ведь вот она: https://t.co/ZlKE3DP0ed

Это Apple iPhone… https://t.co/sHYp2YGmBt",2023-03-02 18:51:58+00:00,1631366757263835136,821424588,2023-03-02 18:51:58+00:00,Twitter Web App,0,0
27,"How's dis' for a design ?? 👍👎
#iphone15pro #appleiphone #concept https://t.co/XHExNz7jau",2023-03-02 18:45:21+00:00,1631365092208943104,1110048234037219328,2023-03-02 18:45:21+00:00,LeadConnector,17,1
28,"RT @CeotechI: iPhone 15 Pro: A17 Bionic promette di aumentare la domanda
#3nm #A17Bionic #Apple #AppleiPhone #iPhone #iPhone15Pro #iPhone15…",2023-03-02 18:15:46+00:00,1631357646342086671,2182233516,2023-03-02 18:15:46+00:00,Twitter for Android,0,3
29,"RT @TECKNET5: #Giveaway Hello March!
🎁Bluetooth earphones
To enter, simply #Follow &amp; #RT &amp; #Tag a friend .
🌸Good luck!🌸
End Day: 08/03/2023…",2023-03-02 18:07:25+00:00,1631355544849072131,499272319,2023-03-02 18:07:25+00:00,Twitter for iPhone,0,356
30,"RT @TECKNET5: #Giveaway Hello March!
🎁Bluetooth earphones
To enter, simply #Follow &amp; #RT &amp; #Tag a friend .
🌸Good luck!🌸
End Day: 08/03/2023…",2023-03-02 18:05:44+00:00,1631355121962475521,376333378,2023-03-02 18:05:44+00:00,Twitter for iPhone,0,356
31,"RT @TECKNET5: #Giveaway Hello March!
🎁Bluetooth earphones
To enter, simply #Follow &amp; #RT &amp; #Tag a friend .
🌸Good luck!🌸
End Day: 08/03/2023…",2023-03-02 18:03:24+00:00,1631354532385939462,3238567235,2023-03-02 18:03:24+00:00,Twitter Web App,0,356
32,"iPhone15 ULTRA スペック 予想 予約 価格 レビュー カメラ 機能などは？ 

今後ProMAXがULTRAに変わるのか？

#iPhone15
#iPhone15Pro
#Apple
#iPhone15ULTRA… https://t.co/l2B6mBOf9a",2023-03-02 18:03:14+00:00,1631354491927683080,154735207,2023-03-02 18:03:14+00:00,Botbird tweets,0,0
33,"RT @TECKNET5: #Giveaway Hello March!
🎁Bluetooth earphones
To enter, simply #Follow &amp; #RT &amp; #Tag a friend .
🌸Good luck!🌸
End Day: 08/03/2023…",2023-03-02 17:59:57+00:00,1631353665607852032,102361296,2023-03-02 17:59:57+00:00,Twitter for Android,0,356
34,"RT @SemBarista: #SEO Power Tips: Top Pro tips for the configuration of Robot.txt, robots meta tag or X-Robots-Tag to beef up site crawling…",2023-03-02 17:54:55+00:00,1631352397611294720,39545939,2023-03-02 17:54:55+00:00,Twitter Web App,0,1
